Artist and Title,Streams,Daily
The Weeknd - Blinding Lights,"3,783,983,806","1,736,378"
Ed Sheeran - Shape of You,"3,616,649,759","1,135,140"
Lewis Capaldi - Someone You Loved,"2,958,875,491","1,522,093"
Post Malone - Sunflower,"2,898,311,408","1,871,177"
Tones And I - Dance Monkey,"2,896,024,418","666,818"
Drake - One Dance,"2,770,548,672","1,461,772"
Post Malone - rockstar,"2,763,808,309","821,331"
The Kid LAROI - STAY,"2,738,183,590","1,490,471"
The Weeknd - Starboy,"2,658,550,411","2,205,639"
Imagine Dragons - Believer,"2,654,895,028","1,346,642"
Harry Styles - As It Was,"2,647,133,145","2,713,142"
Glass Animals - Heat Waves,"2,631,653,042","1,508,232"
The Chainsmokers - Closer,"2,628,670,123","834,463"
Ed Sheeran - Perfect,"2,621,255,983","1,284,093"
Shawn Mendes - SeÃ±orita,"2,523,466,357","804,984"
James Arthur - Say You Won't Let Go,"2,469,540,456","1,033,161"
Billie Eilish - lovely,"2,423,709,056","1,402,211"
Harry Styles - Watermelon Sugar,"2,380,787,760","1,225,123"
The Neighbourhood - Sweater Weather,"2,362,456,184","1,811,559"
Dua Lipa - Don't Start Now,"2,349,214,553","959,143"
Billie Eilish - bad guy,"2,343,754,687","692,396"
Juice WRLD - Lucid Dreams,"2,325,456,383","750,088"
Ed Sheeran - Thinking out Loud,"2,313,415,794","698,115"
Drake - God's Plan,"2,293,770,579","976,484"
Ed Sheeran - Photograph,"2,280,210,098","909,945"
The Chainsmokers - Something Just Like This,"2,253,983,245","1,069,278"
Queen - Bohemian Rhapsody,"2,241,512,021","1,005,635"
Lady Gaga - Shallow,"2,198,752,886","850,863"
Hozier - Take Me to Church,"2,188,565,483","1,224,613"
Post Malone - Circles,"2,184,716,575","1,242,292"
Justin Bieber - Love Yourself,"2,163,556,569","909,569"
John Legend - All of Me,"2,124,274,070","834,100"
Imagine Dragons - Thunder,"2,102,920,956","1,049,567"
XXXTENTACION - SAD!,"2,079,822,824","524,229"
Vance Joy - Riptide,"2,076,301,444","1,367,528"
Ariana Grande - 7 rings,"2,070,982,360","767,612"
OneRepublic - Counting Stars,"2,070,108,919","1,241,291"
Travis Scott - goosebumps,"2,068,777,853","879,747"
Twenty One Pilots - Stressed Out,"2,033,265,603","1,074,423"
Avicii - Wake Me Up,"2,021,627,687","1,101,951"
XXXTENTACION - Jocelyn Flores,"2,014,993,007","586,342"
Macklemore & Ryan Lewis - Can't Hold Us,"2,012,964,534","1,303,503"
The Weeknd - The Hills,"1,995,294,949","1,082,370"
Passenger - Let Her Go,"1,972,975,207","966,048"
Kendrick Lamar - HUMBLE.,"1,967,567,983","859,428"
Lil Uzi Vert - XO Tour Llif3,"1,952,050,268","601,643"
Calvin Harris - One Kiss,"1,941,108,553","925,182"
Camila Cabello - Havana,"1,939,141,226","413,239"
Dua Lipa - New Rules,"1,931,778,574","615,303"
Olivia Rodrigo - good 4 u,"1,930,339,344","1,015,488"
Marshmello - Happier,"1,929,580,081","603,929"
Travis Scott - SICKO MODE,"1,923,978,897","783,524"
Olivia Rodrigo - drivers license,"1,905,590,323","1,141,091"
Tom Odell - Another Love,"1,898,879,821","1,852,185"
Imagine Dragons - Demons,"1,895,412,482","1,302,442"
Shawn Mendes - Treat You Better,"1,892,326,011","1,020,390"
DJ Snake - Let Me Love You,"1,889,874,788","848,387"
Eminem - Lose Yourself,"1,878,754,263","1,058,515"
Justin Bieber - Sorry,"1,865,173,012","574,700"
J. Cole - No Role Modelz,"1,855,182,476","1,452,593"
The Killers - Mr. Brightside,"1,852,538,623","1,033,134"
Dua Lipa - Levitating,"1,851,093,246","976,801"
Sam Smith - Stay With Me,"1,849,652,228","775,777"
Lil Nas X - INDUSTRY BABY,"1,849,325,739","704,223"
Arctic Monkeys - Do I Wanna Know?,"1,844,785,280","1,295,903"
Major Lazer - Lean On,"1,838,021,303","743,365"
Halsey - Without Me,"1,837,441,044","782,464"
Coldplay - Yellow,"1,830,029,093","1,594,241"
Sam Smith - Too Good At Goodbyes,"1,822,296,917","887,152"
Post Malone - Congratulations,"1,812,086,607","644,971"
Post Malone - Better Now,"1,810,255,313","582,587"
SAINt JHN - Roses,"1,807,591,567","460,781"
Bad Bunny - DÃKITI,"1,798,904,349","739,167"
Maroon 5 - Memories,"1,796,266,623","819,037"
Mark Ronson - Uptown Funk,"1,794,283,442","717,133"
Alan Walker - Faded,"1,785,590,812","544,523"
Mike Posner - I Took A Pill In Ibiza,"1,776,479,873","683,808"
Lil Nas X - MONTERO (Call Me By Your Name),"1,763,759,779","610,861"
Shawn Mendes - There's Nothing Holdin' Me Back,"1,759,006,677","938,267"
French Montana - Unforgettable,"1,755,697,097","884,298"
Bruno Mars - That's What I Like,"1,752,846,512","1,292,244"
The Chainsmokers - Don't Let Me Down,"1,751,037,016","547,770"
Oasis - Wonderwall,"1,747,348,405","886,789"
Eminem - Without Me,"1,746,781,943","1,308,237"
"Ariana Grande - thank u, next","1,745,527,373","470,890"
The Weeknd - Die For You,"1,743,814,117","2,024,416"
Nirvana - Smells Like Teen Spirit,"1,736,221,046","992,653"
Eminem - Till I Collapse,"1,732,216,450","789,499"
24kGoldn - Mood,"1,722,956,831","485,786"
Ed Sheeran - I Don't Care,"1,721,455,109","371,220"
BTS - Dynamite,"1,720,086,360","565,274"
Bruno Mars - When I Was Your Man,"1,718,067,831","1,359,447"
XXXTENTACION - Moonlight,"1,710,267,376","599,493"
Bruno Mars - Just the Way You Are,"1,697,234,803","1,330,860"
Shawn Mendes - Stitches,"1,694,707,942","744,089"
Queen - Don't Stop Me Now,"1,691,105,058","1,071,628"
Roddy Ricch - The Box,"1,690,624,234","569,030"
Linkin Park - In the End,"1,672,121,458","1,109,654"
Wiz Khalifa - See You Again,"1,670,788,238","705,368"
Elton John - Cold Heart,"1,668,881,153","1,364,571"
Coldplay - Viva La Vida,"1,666,496,786","1,536,961"
Adele - Someone Like You,"1,665,403,018","918,157"
Jason Mraz - I'm Yours,"1,662,574,038","717,358"
Lukas Graham - 7 Years,"1,659,143,128","748,440"
Sia - Cheap Thrills,"1,653,903,252","549,747"
Lewis Capaldi - Before You Go,"1,652,945,021","934,695"
The Police - Every Breath You Take,"1,651,328,382","1,378,056"
Maroon 5 - Sugar,"1,650,429,374","719,505"
Luis Fonsi - Despacito,"1,648,716,223","270,587"
Journey - Don't Stop Believin',"1,647,076,713","918,967"
The Weeknd - Save Your Tears,"1,646,972,509","1,246,988"
Coldplay - The Scientist,"1,646,553,130","795,988"
Sam Smith - I'm Not The Only One,"1,645,607,373","857,986"
Charlie Puth - We Don't Talk Anymore,"1,633,947,009","866,546"
Lauv - I Like Me Better,"1,629,781,911","628,880"
Billie Eilish - when the party's over,"1,623,323,816","677,760"
Luis Fonsi - Despacito (Featuring Daddy Yankee),"1,618,820,561","501,388"
Imagine Dragons - Radioactive,"1,617,420,732","767,854"
Doja Cat - Kiss Me More,"1,612,338,578","830,083"
Queen - Another One Bites The Dust,"1,612,087,991","834,447"
5 Seconds of Summer - Youngblood,"1,611,013,661","637,231"
Guns N' Roses - Sweet Child O' Mine,"1,598,753,373","1,010,518"
Charlie Puth - Attention,"1,598,565,916","715,575"
Ed Sheeran - Bad Habits,"1,590,955,251","729,274"
"Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")","1,590,286,660","515,812"
Twenty One Pilots - Heathens,"1,586,612,041","609,938"
Danny Ocean - Me RehÃºso,"1,571,317,118","850,590"
Maroon 5 - Girls Like You,"1,568,427,715","310,654"
DaBaby - ROCKSTAR,"1,561,796,549","324,834"
benny blanco - Eastside,"1,558,442,853","655,394"
The Weeknd - I Feel It Coming,"1,557,510,504","679,315"
Dean Lewis - Be Alright,"1,554,519,880","669,068"
The Weeknd - Can't Feel My Face,"1,547,207,402","764,367"
Twenty One Pilots - Ride,"1,544,586,880","659,825"
Bruno Mars - Locked out of Heaven,"1,543,673,181","1,878,777"
Foster The People - Pumped Up Kicks,"1,539,461,331","720,375"
Cardi B - I Like It,"1,534,595,339","368,715"
Post Malone - I Fall Apart,"1,532,303,636","439,954"
Sia - Chandelier,"1,532,201,468","637,526"
a-ha - Take on Me,"1,530,986,581","1,169,591"
Calvin Harris - This Is What You Came For,"1,527,860,257","670,453"
Maroon 5 - Payphone,"1,525,131,083","1,040,890"
TOTO - Africa,"1,522,327,396","818,164"
Adele - Rolling in the Deep,"1,519,345,533","1,105,406"
Post Malone - Wow.,"1,515,702,290","744,583"
ZAYN - Dusk Till Dawn,"1,512,253,724","566,912"
OMI - Cheerleader,"1,508,032,779","569,486"
Bad Bunny - Me Porto Bonito,"1,506,118,891","1,337,897"
Powfu - death bed (coffee for your head),"1,505,911,272","540,366"
Avicii - The Nights,"1,503,679,814","1,056,537"
The Weeknd - Call Out My Name,"1,497,125,581","1,017,743"
Gotye - Somebody That I Used To Know,"1,495,372,481","889,854"
Ava Max - Sweet but Psycho,"1,491,088,042","507,165"
Michael Jackson - Billie Jean,"1,485,856,490","922,071"
Trevor Daniel - Falling,"1,483,329,267","408,420"
Lord Huron - The Night We Met,"1,478,142,552","1,491,797"
DJ Snake - Taki Taki,"1,474,825,598","398,889"
J Balvin - LA CANCIÃN,"1,474,355,961","808,273"
Harry Styles - Adore You,"1,473,518,273","714,479"
Justin Bieber - Peaches,"1,472,934,434","565,872"
Eminem - The Real Slim Shady,"1,472,581,177","1,043,099"
The Weeknd - Earned It (Fifty Shades Of Grey),"1,467,868,288","702,946"
Taylor Swift - Blank Space,"1,462,304,492","2,205,641"
Dua Lipa - IDGAF,"1,461,063,086","472,078"
Lil Nas X - Old Town Road,"1,458,720,853","282,184"
Justin Bieber - What Do You Mean?,"1,456,843,449","417,427"
Mariah Carey - All I Want for Christmas Is You,"1,456,196,481","213,914"
ZAYN - I Donât Wanna Live Forever (Fifty Shades Darker),"1,456,114,042","590,660"
Adele - Easy On Me,"1,454,967,986","1,067,700"
Panic! At The Disco - High Hopes,"1,451,318,544","451,346"
Miley Cyrus - Flowers,"1,450,545,885","2,704,834"
DNCE - Cake By The Ocean,"1,449,668,324","590,478"
Adele - Hello,"1,441,311,472","404,697"
WALK THE MOON - Shut Up and Dance,"1,440,041,644","715,533"
Post Malone - Psycho,"1,437,066,850","340,437"
Childish Gambino - Redbone,"1,436,322,971","622,989"
Future - Mask Off,"1,430,002,912","594,685"
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52","1,426,363,030","1,373,145"
David Guetta - Titanium,"1,424,835,046","751,819"
Marshmello - Silence,"1,424,432,430","505,806"
Ellie Goulding - Love Me Like You Do,"1,424,409,772","451,186"
Alec Benjamin - Let Me Down Slowly,"1,421,675,148","902,196"
Major Lazer - Cold Water,"1,418,941,617","377,325"
Travis Scott - HIGHEST IN THE ROOM,"1,418,705,165","617,276"
Arctic Monkeys - I Wanna Be Yours,"1,416,045,746","2,628,282"
Billie Eilish - everything i wanted,"1,414,649,237","783,761"
Christina Perri - A Thousand Years,"1,413,682,153","710,495"
XXXTENTACION - Everybody Dies In Their Nightmares,"1,413,200,246","585,236"
KAROL G - Tusa,"1,406,092,186","380,798"
Linkin Park - Numb,"1,405,851,093","1,033,248"
Coolio - Gangsta's Paradise,"1,405,104,924","1,016,890"
Arizona Zervas - ROXANNE,"1,400,776,340","296,515"
MÃ¥neskin - Beggin',"1,400,420,045","703,388"
Drake - Passionfruit,"1,400,098,656","928,404"
XXXTENTACION - Fuck Love,"1,399,079,591","569,016"
Clean Bandit - Rockabye,"1,397,072,692","402,402"
Zedd - The Middle,"1,395,462,014","415,930"
Queen - Under Pressure,"1,394,627,324","825,102"
The White Stripes - Seven Nation Army,"1,393,849,056","856,048"
Eagles - Hotel California,"1,391,352,147","760,023"
Khalid - Young Dumb & Broke,"1,388,971,513","477,457"
Juice WRLD - All Girls Are The Same,"1,387,960,821","773,979"
Anne-Marie - 2002,"1,387,216,967","567,068"
BeyoncÃ© - Halo,"1,386,587,140","644,204"
Bastille - Pompeii,"1,380,100,784","808,678"
J Balvin - Mi Gente,"1,373,763,858","406,018"
Tame Impala - The Less I Know The Better,"1,371,855,652","849,541"
Doja Cat - Woman,"1,370,281,598","984,378"
Maroon 5 - Maps,"1,359,757,499","1,034,060"
Shakira - Hips Don't Lie,"1,356,430,515","868,490"
White Noise Baby Sleep - Clean White Noise,"1,350,598,332","1,941,565"
Harry Styles - Sign of the Times,"1,348,296,704","638,595"
Ed Sheeran - Shivers,"1,347,530,766","941,253"
NF - Let You Down,"1,346,966,652","481,179"
"Earth, Wind & Fire - September","1,346,655,385","838,629"
Marshmello - FRIENDS,"1,346,431,482","327,466"
Conan Gray - Heather,"1,344,310,093","884,679"
Farruko - Pepas,"1,343,868,535","717,962"
Kendrick Lamar - All The Stars,"1,343,107,521","789,052"
Fleetwood Mac - Dreams,"1,337,764,364","1,190,804"
Don Omar - Danza Kuduro,"1,333,964,462","1,160,382"
The Goo Goo Dolls - Iris,"1,333,908,335","968,448"
AC/DC - Back In Black,"1,332,858,922","739,123"
Fifth Harmony - Work from Home,"1,331,998,969","353,579"
Bad Bunny - Callaita,"1,327,252,311","473,176"
Radiohead - Creep,"1,326,606,903","1,306,548"
Drake - In My Feelings,"1,324,734,035","278,754"
"gnash - i hate u, i love u","1,324,171,498","287,442"
Arctic Monkeys - Why'd You Only Call Me When You're High?,"1,323,967,593","1,392,908"
Bon Jovi - Livin' On A Prayer,"1,323,812,003","1,010,892"
Kygo - It Ainât Me,"1,322,808,868","428,689"
Champs United - Danza Kuduro,"1,322,122,702","1,131,634"
Clean Bandit - Symphony,"1,322,114,416","494,626"
Martin Garrix - In the Name of Love,"1,320,929,904","467,256"
AC/DC - Highway to Hell,"1,315,277,814","841,824"
Ed Sheeran - Beautiful People,"1,314,983,580","319,859"
Dynoro - In My Mind,"1,314,116,685","450,795"
Bad Bunny - TitÃ­ Me PreguntÃ³,"1,312,122,553","989,504"
Ariana Grande - Side To Side,"1,310,703,566","447,762"
Miley Cyrus - Party In The U.S.A.,"1,310,252,056","1,092,949"
Olivia Rodrigo - deja vu,"1,307,274,925","1,261,694"
