Streams,Daily,Artist,Title,age_grp
3783983806,1736378,The Weeknd , Blinding Lights,31-45
3616649759,1135140,Ed Sheeran , Shape of You,31-45
2958875491,1522093,Lewis Capaldi , Someone You Loved,61+
2898311408,1871177,Post Malone , Sunflower,46-60
2896024418,666818,Tones And I , Dance Monkey,0-18
2770548672,1461772,Drake , One Dance,46-60
2763808309,821331,Post Malone , rockstar,19-30
2738183590,1490471,The Kid LAROI , STAY,19-30
2658550411,2205639,The Weeknd , Starboy,61+
2654895028,1346642,Imagine Dragons , Believer,46-60
2647133145,2713142,Harry Styles , As It Was,19-30
2631653042,1508232,Glass Animals , Heat Waves,61+
2628670123,834463,The Chainsmokers , Closer,0-18
2621255983,1284093,Ed Sheeran , Perfect,0-18
2523466357,804984,Shawn Mendes , Señorita,61+
2469540456,1033161,James Arthur , Say You Won't Let Go,46-60
2423709056,1402211,Billie Eilish , lovely,19-30
2380787760,1225123,Harry Styles , Watermelon Sugar,61+
2362456184,1811559,The Neighbourhood , Sweater Weather,19-30
2349214553,959143,Dua Lipa , Don't Start Now,19-30
2343754687,692396,Billie Eilish , bad guy,19-30
2325456383,750088,Juice WRLD , Lucid Dreams,46-60
2313415794,698115,Ed Sheeran , Thinking out Loud,31-45
2293770579,976484,Drake , God's Plan,46-60
2280210098,909945,Ed Sheeran , Photograph,61+
2253983245,1069278,The Chainsmokers , Something Just Like This,31-45
2241512021,1005635,Queen , Bohemian Rhapsody,61+
2198752886,850863,Lady Gaga , Shallow,0-18
2188565483,1224613,Hozier , Take Me to Church,31-45
2184716575,1242292,Post Malone , Circles,31-45
2163556569,909569,Justin Bieber , Love Yourself,31-45
2124274070,834100,John Legend , All of Me,19-30
2102920956,1049567,Imagine Dragons , Thunder,19-30
2079822824,524229,XXXTENTACION , SAD!,61+
2076301444,1367528,Vance Joy , Riptide,61+
2070982360,767612,Ariana Grande , 7 rings,31-45
2070108919,1241291,OneRepublic , Counting Stars,0-18
2068777853,879747,Travis Scott , goosebumps,19-30
2033265603,1074423,Twenty One Pilots , Stressed Out,0-18
2021627687,1101951,Avicii , Wake Me Up,0-18
2014993007,586342,XXXTENTACION , Jocelyn Flores,61+
2012964534,1303503,Macklemore & Ryan Lewis , Can't Hold Us,19-30
1995294949,1082370,The Weeknd , The Hills,0-18
1972975207,966048,Passenger , Let Her Go,61+
1967567983,859428,Kendrick Lamar , HUMBLE.,46-60
1952050268,601643,Lil Uzi Vert , XO Tour Llif3,19-30
1941108553,925182,Calvin Harris , One Kiss,46-60
1939141226,413239,Camila Cabello , Havana,61+
1931778574,615303,Dua Lipa , New Rules,19-30
1930339344,1015488,Olivia Rodrigo , good 4 u,31-45
1929580081,603929,Marshmello , Happier,0-18
1923978897,783524,Travis Scott , SICKO MODE,0-18
1905590323,1141091,Olivia Rodrigo , drivers license,61+
1898879821,1852185,Tom Odell , Another Love,0-18
1895412482,1302442,Imagine Dragons , Demons,46-60
1892326011,1020390,Shawn Mendes , Treat You Better,46-60
1889874788,848387,DJ Snake , Let Me Love You,61+
1878754263,1058515,Eminem , Lose Yourself,19-30
1865173012,574700,Justin Bieber , Sorry,61+
1855182476,1452593,J. Cole , No Role Modelz,19-30
1852538623,1033134,The Killers , Mr. Brightside,61+
1851093246,976801,Dua Lipa , Levitating,0-18
1849652228,775777,Sam Smith , Stay With Me,0-18
1849325739,704223,Lil Nas X , INDUSTRY BABY,19-30
1844785280,1295903,Arctic Monkeys , Do I Wanna Know?,61+
1838021303,743365,Major Lazer , Lean On,46-60
1837441044,782464,Halsey , Without Me,19-30
1830029093,1594241,Coldplay , Yellow,19-30
1822296917,887152,Sam Smith , Too Good At Goodbyes,46-60
1812086607,644971,Post Malone , Congratulations,0-18
1810255313,582587,Post Malone , Better Now,61+
1807591567,460781,SAINt JHN , Roses,19-30
1798904349,739167,Bad Bunny , DÁKITI,61+
1796266623,819037,Maroon 5 , Memories,61+
1794283442,717133,Mark Ronson , Uptown Funk,46-60
1785590812,544523,Alan Walker , Faded,31-45
1776479873,683808,Mike Posner , I Took A Pill In Ibiza,0-18
1763759779,610861,Lil Nas X , MONTERO (Call Me By Your Name),61+
1759006677,938267,Shawn Mendes , There's Nothing Holdin' Me Back,31-45
1755697097,884298,French Montana , Unforgettable,0-18
1752846512,1292244,Bruno Mars , That's What I Like,31-45
1751037016,547770,The Chainsmokers , Don't Let Me Down,19-30
1747348405,886789,Oasis , Wonderwall,19-30
1746781943,1308237,Eminem , Without Me,31-45
1745527373,470890,Ariana Grande ," thank u, next",19-30
1743814117,2024416,The Weeknd , Die For You,31-45
1736221046,992653,Nirvana , Smells Like Teen Spirit,31-45
1732216450,789499,Eminem , Till I Collapse,0-18
1722956831,485786,24kGoldn , Mood,0-18
1721455109,371220,Ed Sheeran , I Don't Care,0-18
1720086360,565274,BTS , Dynamite,46-60
1718067831,1359447,Bruno Mars , When I Was Your Man,46-60
1710267376,599493,XXXTENTACION , Moonlight,31-45
1697234803,1330860,Bruno Mars , Just the Way You Are,46-60
1694707942,744089,Shawn Mendes , Stitches,31-45
1691105058,1071628,Queen , Don't Stop Me Now,46-60
1690624234,569030,Roddy Ricch , The Box,0-18
1672121458,1109654,Linkin Park , In the End,46-60
1670788238,705368,Wiz Khalifa , See You Again,61+
1668881153,1364571,Elton John , Cold Heart,0-18
1666496786,1536961,Coldplay , Viva La Vida,0-18
1665403018,918157,Adele , Someone Like You,46-60
1662574038,717358,Jason Mraz , I'm Yours,46-60
1659143128,748440,Lukas Graham , 7 Years,61+
1653903252,549747,Sia , Cheap Thrills,19-30
1652945021,934695,Lewis Capaldi , Before You Go,61+
1651328382,1378056,The Police , Every Breath You Take,0-18
1650429374,719505,Maroon 5 , Sugar,31-45
1648716223,270587,Luis Fonsi , Despacito,31-45
1647076713,918967,Journey , Don't Stop Believin',46-60
1646972509,1246988,The Weeknd , Save Your Tears,31-45
1646553130,795988,Coldplay , The Scientist,46-60
1645607373,857986,Sam Smith , I'm Not The Only One,19-30
1633947009,866546,Charlie Puth , We Don't Talk Anymore,19-30
1629781911,628880,Lauv , I Like Me Better,0-18
1623323816,677760,Billie Eilish , when the party's over,31-45
1618820561,501388,Luis Fonsi , Despacito (Featuring Daddy Yankee),31-45
1617420732,767854,Imagine Dragons , Radioactive,0-18
1612338578,830083,Doja Cat , Kiss Me More,61+
1612087991,834447,Queen , Another One Bites The Dust,61+
1611013661,637231,5 Seconds of Summer , Youngblood,0-18
1598753373,1010518,Guns N' Roses , Sweet Child O' Mine,0-18
1598565916,715575,Charlie Puth , Attention,61+
1590955251,729274,Ed Sheeran , Bad Habits,61+
1590286660,515812,Justin Timberlake , CAN'T STOP THE FEELING! (from DreamWorks Animation's "TROLLS"),19-30
1586612041,609938,Twenty One Pilots , Heathens,46-60
1571317118,850590,Danny Ocean , Me Rehúso,61+
1568427715,310654,Maroon 5 , Girls Like You,0-18
1561796549,324834,DaBaby , ROCKSTAR,46-60
1558442853,655394,benny blanco , Eastside,61+
1557510504,679315,The Weeknd , I Feel It Coming,31-45
1554519880,669068,Dean Lewis , Be Alright,61+
1547207402,764367,The Weeknd , Can't Feel My Face,31-45
1544586880,659825,Twenty One Pilots , Ride,19-30
1543673181,1878777,Bruno Mars , Locked out of Heaven,61+
1539461331,720375,Foster The People , Pumped Up Kicks,19-30
1534595339,368715,Cardi B , I Like It,61+
1532303636,439954,Post Malone , I Fall Apart,46-60
1532201468,637526,Sia , Chandelier,61+
1530986581,1169591,a,ha - Take on Me,0-18
1527860257,670453,Calvin Harris , This Is What You Came For,46-60
1525131083,1040890,Maroon 5 , Payphone,46-60
1522327396,818164,TOTO , Africa,0-18
1519345533,1105406,Adele , Rolling in the Deep,19-30
1515702290,744583,Post Malone , Wow.,61+
1512253724,566912,ZAYN , Dusk Till Dawn,31-45
1508032779,569486,OMI , Cheerleader,46-60
1506118891,1337897,Bad Bunny , Me Porto Bonito,31-45
1505911272,540366,Powfu , death bed (coffee for your head),61+
1503679814,1056537,Avicii , The Nights,19-30
1497125581,1017743,The Weeknd , Call Out My Name,31-45
1495372481,889854,Gotye , Somebody That I Used To Know,19-30
1491088042,507165,Ava Max , Sweet but Psycho,31-45
1485856490,922071,Michael Jackson , Billie Jean,0-18
1483329267,408420,Trevor Daniel , Falling,0-18
1478142552,1491797,Lord Huron , The Night We Met,19-30
1474825598,398889,DJ Snake , Taki Taki,31-45
1474355961,808273,J Balvin , LA CANCI�?N,31-45
1473518273,714479,Harry Styles , Adore You,19-30
1472934434,565872,Justin Bieber , Peaches,31-45
1472581177,1043099,Eminem , The Real Slim Shady,46-60
1467868288,702946,The Weeknd , Earned It (Fifty Shades Of Grey),46-60
1462304492,2205641,Taylor Swift , Blank Space,31-45
1461063086,472078,Dua Lipa , IDGAF,0-18
1458720853,282184,Lil Nas X , Old Town Road,31-45
1456843449,417427,Justin Bieber , What Do You Mean?,0-18
1456196481,213914,Mariah Carey , All I Want for Christmas Is You,61+
1456114042,590660,ZAYN , I Don�??t Wanna Live Forever (Fifty Shades Darker),0-18
1454967986,1067700,Adele , Easy On Me,46-60
1451318544,451346,Panic! At The Disco , High Hopes,0-18
1450545885,2704834,Miley Cyrus , Flowers,19-30
1449668324,590478,DNCE , Cake By The Ocean,31-45
1441311472,404697,Adele , Hello,46-60
1440041644,715533,WALK THE MOON , Shut Up and Dance,46-60
1437066850,340437,Post Malone , Psycho,19-30
1436322971,622989,Childish Gambino , Redbone,0-18
1430002912,594685,Future , Mask Off,31-45
1426363030,1373145,Bizarrap ," Quevedo: Bzrp Music Sessions, Vol. 52",19-30
1424835046,751819,David Guetta , Titanium,46-60
1424432430,505806,Marshmello , Silence,19-30
1424409772,451186,Ellie Goulding , Love Me Like You Do,19-30
1421675148,902196,Alec Benjamin , Let Me Down Slowly,31-45
1418941617,377325,Major Lazer , Cold Water,46-60
1418705165,617276,Travis Scott , HIGHEST IN THE ROOM,0-18
1416045746,2628282,Arctic Monkeys , I Wanna Be Yours,0-18
1414649237,783761,Billie Eilish , everything i wanted,0-18
1413682153,710495,Christina Perri , A Thousand Years,0-18
1413200246,585236,XXXTENTACION , Everybody Dies In Their Nightmares,46-60
1406092186,380798,KAROL G , Tusa,46-60
1405851093,1033248,Linkin Park , Numb,46-60
1405104924,1016890,Coolio , Gangsta's Paradise,19-30
1400776340,296515,Arizona Zervas , ROXANNE,19-30
1400420045,703388,Måneskin , Beggin',0-18
1400098656,928404,Drake , Passionfruit,0-18
1399079591,569016,XXXTENTACION , Fuck Love,19-30
1397072692,402402,Clean Bandit , Rockabye,61+
1395462014,415930,Zedd , The Middle,61+
1394627324,825102,Queen , Under Pressure,61+
1393849056,856048,The White Stripes , Seven Nation Army,19-30
1391352147,760023,Eagles , Hotel California,61+
1388971513,477457,Khalid , Young Dumb & Broke,19-30
1387960821,773979,Juice WRLD , All Girls Are The Same,31-45
1387216967,567068,Anne,Marie - 2002,46-60
1386587140,644204,Beyoncé , Halo,46-60
1380100784,808678,Bastille , Pompeii,0-18
1373763858,406018,J Balvin , Mi Gente,31-45
1371855652,849541,Tame Impala , The Less I Know The Better,31-45
1370281598,984378,Doja Cat , Woman,0-18
1359757499,1034060,Maroon 5 , Maps,31-45
1356430515,868490,Shakira , Hips Don't Lie,61+
1350598332,1941565,White Noise Baby Sleep , Clean White Noise,61+
1348296704,638595,Harry Styles , Sign of the Times,61+
1347530766,941253,Ed Sheeran , Shivers,31-45
1346966652,481179,NF , Let You Down,31-45
1346655385,838629,"Earth, Wind & Fire ", September,31-45
1346431482,327466,Marshmello , FRIENDS,61+
1344310093,884679,Conan Gray , Heather,46-60
1343868535,717962,Farruko , Pepas,0-18
1343107521,789052,Kendrick Lamar , All The Stars,31-45
1337764364,1190804,Fleetwood Mac , Dreams,61+
1333964462,1160382,Don Omar , Danza Kuduro,0-18
1333908335,968448,The Goo Goo Dolls , Iris,61+
1332858922,739123,AC/DC , Back In Black,31-45
1331998969,353579,Fifth Harmony , Work from Home,61+
1327252311,473176,Bad Bunny , Callaita,19-30
1326606903,1306548,Radiohead , Creep,0-18
1324734035,278754,Drake , In My Feelings,31-45
1324171498,287442,gnash ," i hate u, i love u",61+
1323967593,1392908,Arctic Monkeys , Why'd You Only Call Me When You're High?,61+
1323812003,1010892,Bon Jovi , Livin' On A Prayer,61+
1322808868,428689,Kygo , It Ain�??t Me,0-18
1322122702,1131634,Champs United , Danza Kuduro,61+
1322114416,494626,Clean Bandit , Symphony,19-30
1320929904,467256,Martin Garrix , In the Name of Love,61+
1315277814,841824,AC/DC , Highway to Hell,19-30
1314983580,319859,Ed Sheeran , Beautiful People,31-45
1314116685,450795,Dynoro , In My Mind,0-18
1312122553,989504,Bad Bunny , Tití Me Preguntó,31-45
1310703566,447762,Ariana Grande , Side To Side,46-60
1310252056,1092949,Miley Cyrus , Party In The U.S.A.,46-60
1307274925,1261694,Olivia Rodrigo , deja vu,31-45
1305696679,1355148,Eminem , Mockingbird,0-18
1297007038,1723657,Manuel Turizo , La Bachata,46-60
1296045927,611450,Calvin Harris , Summer,61+
1294550504,474300,Jonas Brothers , Sucker,61+
1293724062,1224408,Sam Smith , Unholy,19-30
1293388846,2624438,SZA , Kill Bill,0-18
